open_time,open_time_ms,symbol,timeframe,side,entry,stop_loss,take_profit,exit_price,exit_reason,pnl_pct
2017-08-17 12:00:00,1502971200000,ETH/USDT,1h,long,308.62,307.96,314.7924,307.96,stop,-0.11
2017-08-17 14:00:00,1502978400000,ETH/USDT,1h,long,306.5,304.44,312.63,304.44,stop,-0.34
2017-08-17 16:00:00,1502985600000,ETH/USDT,1h,long,308.0,307.96,314.16,307.96,stop,-0.01
2017-08-17 17:00:00,1502989200000,ETH/USDT,1h,long,308.33,307.96,314.4966,307.96,stop,-0.06
2017-08-17 18:00:00,1502992800000,ETH/USDT,1h,short,309.1,312.0,302.918,302.918,target,1.0
2017-08-17 20:00:00,1503000000000,ETH/USDT,1h,long,304.79,304.44,310.8858,304.44,stop,-0.06
2017-08-17 21:00:00,1503003600000,ETH/USDT,1h,short,307.44,308.76,301.2912,308.76,stop,-0.21
2017-08-17 22:00:00,1503007200000,ETH/USDT,1h,long,306.74,304.44,312.8748,304.44,stop,-0.37
2017-08-17 23:00:00,1503010800000,ETH/USDT,1h,long,302.0,301.9,308.04,301.9,stop,-0.02
2017-08-18 05:00:00,1503032400000,ETH/USDT,1h,long,304.7,304.44,310.794,304.44,stop,-0.04
2017-08-18 06:00:00,1503036000000,ETH/USDT,1h,long,307.0,304.44,313.14,304.44,stop,-0.42
2017-08-18 08:00:00,1503043200000,ETH/USDT,1h,long,304.23,301.9,310.31460000000004,310.31460000000004,target,1.0
2017-08-18 10:00:00,1503050400000,ETH/USDT,1h,short,308.88,309.4,302.7024,309.4,stop,-0.08
2017-08-18 11:00:00,1503054000000,ETH/USDT,1h,short,307.78,309.4,301.6244,309.4,stop,-0.26
2017-08-18 12:00:00,1503057600000,ETH/USDT,1h,long,308.47,307.96,314.6394,307.96,stop,-0.08
2017-08-18 13:00:00,1503061200000,ETH/USDT,1h,long,303.22,301.9,309.2844,301.9,stop,-0.22
2017-08-18 19:00:00,1503082800000,ETH/USDT,1h,short,293.83,301.11,287.9534,287.9534,target,1.0
2017-08-18 22:00:00,1503093600000,ETH/USDT,1h,short,293.74,298.25,287.8652,298.25,stop,-0.77
2017-08-19 02:00:00,1503108000000,ETH/USDT,1h,short,299.84,301.11,293.84319999999997,293.84319999999997,target,1.0
2017-08-19 03:00:00,1503111600000,ETH/USDT,1h,long,293.22,288.25,299.0844,299.0844,target,1.0
2017-08-19 05:00:00,1503118800000,ETH/USDT,1h,long,293.23,289.97,302.0269,289.97,stop,-0.28
2017-08-19 06:00:00,1503122400000,ETH/USDT,1h,long,289.02,283.94,297.69059999999996,283.94,stop,-0.44
2017-08-19 10:00:00,1503136800000,ETH/USDT,1h,long,287.14,283.94,295.75419999999997,283.94,stop,-0.28
2017-08-19 12:00:00,1503144000000,ETH/USDT,1h,long,290.85,289.97,299.57550000000003,289.97,stop,-0.08
2017-08-19 13:00:00,1503147600000,ETH/USDT,1h,long,286.36,283.94,294.9508,283.94,stop,-0.21
2017-08-19 15:00:00,1503154800000,ETH/USDT,1h,long,288.64,283.94,297.2992,283.94,stop,-0.41
2017-08-20 08:00:00,1503216000000,ETH/USDT,1h,long,295.98,294.24,304.85940000000005,294.24,stop,-0.15
2017-08-20 09:00:00,1503219600000,ETH/USDT,1h,long,295.96,294.24,304.8388,294.24,stop,-0.15
2017-08-20 10:00:00,1503223200000,ETH/USDT,1h,long,295.51,294.24,304.3753,294.24,stop,-0.11
2017-08-20 11:00:00,1503226800000,ETH/USDT,1h,long,295.0,294.24,303.85,294.24,stop,-0.06
2017-08-20 13:00:00,1503234000000,ETH/USDT,1h,long,293.41,289.97,299.2782,299.2782,target,1.0
2017-08-20 19:00:00,1503255600000,ETH/USDT,1h,long,297.88,294.24,,294.24,stop,-1.22
2017-08-22 06:00:00,1503381600000,ETH/USDT,1h,long,305.37,304.83,,304.83,stop,-0.18
2017-08-22 07:00:00,1503385200000,ETH/USDT,1h,long,300.35,294.6,,294.6,stop,-1.91
2017-09-04 09:00:00,1504515600000,ETH/USDT,1h,short,310.11,328.19,300.8067,300.8067,target,0.75
2017-09-04 13:00:00,1504530000000,ETH/USDT,1h,short,293.81,304.55,284.9957,284.9957,target,0.75
2017-09-04 16:00:00,1504540800000,ETH/USDT,1h,short,273.48,298.18,265.2756,298.18,stop,-2.26
2017-09-04 19:00:00,1504551600000,ETH/USDT,1h,short,296.43,298.18,287.5371,298.18,stop,-0.15
2017-09-04 20:00:00,1504555200000,ETH/USDT,1h,short,301.94,314.27,292.8818,292.8818,target,0.75
2017-09-04 21:00:00,1504558800000,ETH/USDT,1h,short,312.92,314.27,303.5324,303.5324,target,0.75
2017-09-04 22:00:00,1504562400000,ETH/USDT,1h,long,294.64,276.6,303.4792,276.6,stop,-1.53
2017-09-05 00:00:00,1504569600000,ETH/USDT,1h,long,274.5,271.0,282.735,271.0,stop,-0.32
2017-09-05 02:00:00,1504576800000,ETH/USDT,1h,long,275.25,271.0,283.5075,271.0,stop,-0.39
2017-09-05 03:00:00,1504580400000,ETH/USDT,1h,long,271.12,271.0,279.2536,271.0,stop,-0.01
2017-09-05 04:00:00,1504584000000,ETH/USDT,1h,long,279.01,267.94,287.3803,287.3803,target,0.75
2017-09-05 07:00:00,1504594800000,ETH/USDT,1h,long,296.52,271.33,305.4156,305.4156,target,0.75
2017-09-05 17:00:00,1504630800000,ETH/USDT,1h,short,305.0,312.92,295.84999999999997,312.92,stop,-0.65
2017-09-05 18:00:00,1504634400000,ETH/USDT,1h,short,312.12,312.92,302.7564,312.92,stop,-0.06
2017-09-05 21:00:00,1504645200000,ETH/USDT,1h,long,310.72,285.94,320.0416,320.0416,target,0.75
2017-09-05 23:00:00,1504652400000,ETH/USDT,1h,long,312.09,285.94,321.4527,321.4527,target,0.75
2017-09-06 02:00:00,1504663200000,ETH/USDT,1h,long,324.6,309.83,,309.83,stop,-4.55
2017-09-08 22:00:00,1504908000000,ETH/USDT,1h,short,302.11,325.19,293.0467,293.0467,target,0.75
2017-09-09 00:00:00,1504915200000,ETH/USDT,1h,long,299.0,294.0,307.97,294.0,stop,-0.42
2017-09-09 01:00:00,1504918800000,ETH/USDT,1h,long,292.1,281.52,300.86300000000006,300.86300000000006,target,0.75
2017-09-09 05:00:00,1504933200000,ETH/USDT,1h,short,306.42,306.9,297.2274,297.2274,target,0.75
2017-09-09 09:00:00,1504947600000,ETH/USDT,1h,long,299.78,288.61,308.7734,288.61,stop,-0.93
2017-09-09 19:00:00,1504983600000,ETH/USDT,1h,long,298.76,296.26,307.7228,296.26,stop,-0.21
2017-09-09 22:00:00,1504994400000,ETH/USDT,1h,long,298.0,296.26,306.94,296.26,stop,-0.15
2017-09-09 23:00:00,1504998000000,ETH/USDT,1h,long,296.74,296.26,305.6422,296.26,stop,-0.04
2017-09-10 00:00:00,1505001600000,ETH/USDT,1h,long,297.52,296.26,306.4456,296.26,stop,-0.11
2017-09-10 01:00:00,1505005200000,ETH/USDT,1h,long,295.02,295.0,303.87059999999997,295.0,stop,-0.0
2017-09-10 02:00:00,1505008800000,ETH/USDT,1h,long,285.0,281.52,293.55,281.52,stop,-0.31
2017-09-10 03:00:00,1505012400000,ETH/USDT,1h,long,290.58,288.94,299.2974,288.94,stop,-0.14
2017-09-10 04:00:00,1505016000000,ETH/USDT,1h,long,290.0,288.94,298.7,288.94,stop,-0.09
2017-09-10 07:00:00,1505026800000,ETH/USDT,1h,short,276.86,291.58,268.5542,268.5542,target,0.75
2017-09-10 08:00:00,1505030400000,ETH/USDT,1h,short,280.81,291.58,272.3857,272.3857,target,0.75
2017-09-10 11:00:00,1505041200000,ETH/USDT,1h,short,280.22,291.58,271.8134,291.58,stop,-1.01
2017-09-10 17:00:00,1505062800000,ETH/USDT,1h,long,298.36,296.26,307.31080000000003,296.26,stop,-0.18
2017-09-10 18:00:00,1505066400000,ETH/USDT,1h,long,299.51,296.26,308.4953,296.26,stop,-0.27
2017-09-10 20:00:00,1505073600000,ETH/USDT,1h,long,296.12,295.0,305.0036,295.0,stop,-0.09
2017-09-10 21:00:00,1505077200000,ETH/USDT,1h,long,291.87,288.94,300.6261,288.94,stop,-0.25
2017-09-11 00:00:00,1505088000000,ETH/USDT,1h,long,290.2,288.94,298.906,288.94,stop,-0.11
