date,open,high,low,close,volume,quote_volume,oi_btc,funding_mean,funding_sum,bn_oi_usd,bn_oi_btc,oi_usd,usdt_d,usdt_mcap,total_mcap,btc_dominance,usdt_d_source
2022-01-01,3676.01,3776.33,3671.86,3763.06,755619.793,2815651909.34339,72537.34,0.0001,0.00030000000000000003,,,272962362.6604,4.241718142190379,79326554298.0,1870151472559.5745,,proxy_calibrated
2022-01-02,3763.05,3860.0,3714.48,3826.21,740079.43,2798657676.16421,74621.49,4.284333333333333e-05,0.00012853,,,285517491.2529,4.215197598672834,78778422990.0,1868914117212.5264,,proxy_calibrated
2022-01-03,3826.1,3850.0,3680.0,3764.07,999879.353,3777721163.97305,74796.69,6.483666666666667e-05,0.00019451,,,281539976.9283,4.269323007929552,78481342990.0,1838262011195.5469,,proxy_calibrated
2022-01-04,3764.07,3893.19,3711.0,3785.6,1253780.69,4775534414.28812,74690.98,0.0001,0.00030000000000000003,,,282750173.88799995,4.291821966218018,78388221317.0,1826455569080.2856,,proxy_calibrated
2022-01-05,3785.6,3847.18,3405.0,3537.71,1813981.948,6675092541.77517,68379.39999999,0.0001,0.00030000000000000003,,,241906487.17396462,4.5421597604083965,78502373121.0,1728304975207.2495,,proxy_calibrated
2022-01-06,3537.81,3549.11,3292.31,3404.6,1840489.348,6279177286.15747,68599.75999999,6.569333333333333e-05,0.00019708,,,233554742.89596593,4.635234433376794,78772213379.0,1699422424285.3235,,proxy_calibrated
2022-01-07,3404.61,3415.35,3040.77,3196.58,2855226.352,9156175041.42808,71412.0,7.311666666666666e-05,0.00021935,,,228274170.96,4.8273449013625855,78639572254.0,1629043995422.8853,,proxy_calibrated
2022-01-08,3196.58,3248.03,2996.45,3080.03,1859886.155,5808043464.37497,70638.6,0.0001,0.00030000000000000003,,,217569007.15800002,4.863713277807387,78498478180.0,1613961878431.04,,proxy_calibrated
2022-01-09,3079.86,3209.4,3057.0,3150.0,1230848.792,3853748750.33209,70829.73,2.7453333333333334e-05,8.236e-05,,,223113649.5,4.8071992468211455,78296609765.0,1628736520891.56,,proxy_calibrated
2022-01-10,3149.99,3179.16,2924.78,3081.31,2322294.565,7079565083.20333,70900.82,-6.451666666666667e-05,-0.00019355000000000002,,,218467405.67420003,4.828648614025337,78054241928.0,1616482129208.635,,proxy_calibrated
2022-01-11,3081.25,3262.66,3050.58,3236.86,1533503.746,4836151992.53377,68956.36,6.305333333333334e-05,0.00018916,,,223202083.4296,4.71742743328246,78481657327.0,1663653727311.1,,proxy_calibrated
2022-01-12,3236.86,3411.0,3203.85,3369.93,1435454.649,4753099829.92951,72085.12,-6.218e-05,-0.00018654,,,242921808.44159997,4.583735343918213,78555065237.0,1713778378178.582,,proxy_calibrated
2022-01-13,3369.92,3408.89,3230.97,3240.36,1374273.064,4558640511.93513,70626.82,2.0803333333333335e-05,6.241000000000001e-05,,,228856322.45520005,4.727275262756489,78482021770.0,1660195723915.5327,,proxy_calibrated
2022-01-14,3240.32,3342.63,3181.2,3305.6,1309794.267,4271754423.42846,70929.71,6.235333333333334e-05,0.00018706000000000001,,,234465249.37600002,4.656131149935674,78355483483.0,1682845284203.0127,,proxy_calibrated
2022-01-15,3305.61,3372.0,3257.59,3324.05,809020.133,2687321901.17641,71713.13,9.877333333333333e-05,0.00029632,,,238378029.77650002,4.652163759114409,78464443412.0,1686622558336.9526,,proxy_calibrated
2022-01-16,3324.06,3394.62,3269.01,3345.49,934941.801,3112687274.02912,75296.17,6.864666666666666e-05,0.00020594,,,251902583.7733,4.635674077797925,78324639023.0,1689606251615.6526,,proxy_calibrated
