date,open,high,low,close,volume,quote_volume
2022-01-01 00:00:00,3676.01,3730.0,3676.01,3721.67,45835.92,169820419.78373
2022-01-01 01:00:00,3721.67,3747.78,3712.65,3723.71,39219.106,146317257.35853
2022-01-01 02:00:00,3723.72,3735.42,3721.15,3727.03,18603.21,69356266.2882
2022-01-01 03:00:00,3727.04,3734.62,3720.56,3722.07,12613.551,47009203.13306
2022-01-01 04:00:00,3722.07,3726.63,3706.0,3707.3,27995.465,104004302.69468
2022-01-01 05:00:00,3707.29,3764.03,3702.33,3735.39,55353.713,206971659.79946
2022-01-01 06:00:00,3735.39,3742.43,3706.8,3710.97,26952.406,100398566.08435
2022-01-01 07:00:00,3710.97,3724.63,3701.16,3714.77,31352.936,116396796.15125
2022-01-01 08:00:00,3714.77,3733.33,3707.51,3720.98,30348.481,112966440.28661
2022-01-01 09:00:00,3720.98,3729.88,3707.59,3717.47,23029.992,85657536.03476
2022-01-01 10:00:00,3717.46,3731.7,3671.86,3690.72,69973.149,258761959.34217
2022-01-01 11:00:00,3690.76,3711.62,3690.22,3692.08,27432.057,101531096.38236
2022-01-01 12:00:00,3692.09,3718.0,3692.08,3715.15,24025.198,89069708.00853
2022-01-01 13:00:00,3715.43,3724.26,3704.48,3708.68,24097.775,89486245.02913
2022-01-01 14:00:00,3708.66,3712.25,3690.78,3696.0,23394.056,86623557.80197
2022-01-01 15:00:00,3696.0,3744.99,3691.41,3723.98,55285.549,205991016.57934
2022-01-01 16:00:00,3723.98,3747.66,3716.43,3726.46,38024.736,142019279.98513
2022-01-01 17:00:00,3726.46,3762.8,3725.58,3758.81,38512.871,144364806.04261
2022-01-01 18:00:00,3758.77,3765.0,3737.97,3750.16,28057.91,105174700.61989
2022-01-01 19:00:00,3750.16,3755.9,3732.99,3745.22,16854.142,63068166.58308
2022-01-01 20:00:00,3745.22,3776.33,3738.0,3759.1,28731.932,108029240.94163
2022-01-01 21:00:00,3759.1,3774.51,3744.12,3746.76,23998.548,90263422.41176
2022-01-01 22:00:00,3746.77,3762.33,3737.41,3755.8,22444.591,84172838.02037
2022-01-01 23:00:00,3755.8,3772.0,3743.0,3763.06,23482.499,88197423.98079
