date,open,high,low,close,volume,quote_volume
2022-01-01,3676.01,3776.33,3671.86,3763.06,755619.793,2815651909.34339
2022-01-02,3763.05,3860.0,3714.48,3826.21,740079.43,2798657676.16421
2022-01-03,3826.1,3850.0,3680.0,3764.07,999879.353,3777721163.97305
2022-01-04,3764.07,3893.19,3711.0,3785.6,1253780.69,4775534414.28812
2022-01-05,3785.6,3847.18,3405.0,3537.71,1813981.948,6675092541.77517
2022-01-06,3537.81,3549.11,3292.31,3404.6,1840489.348,6279177286.15747
2022-01-07,3404.61,3415.35,3040.77,3196.58,2855226.352,9156175041.42808
2022-01-08,3196.58,3248.03,2996.45,3080.03,1859886.155,5808043464.37497
2022-01-09,3079.86,3209.4,3057.0,3150.0,1230848.792,3853748750.33209
2022-01-10,3149.99,3179.16,2924.78,3081.31,2322294.565,7079565083.20333
2022-01-11,3081.25,3262.66,3050.58,3236.86,1533503.746,4836151992.53377
2022-01-12,3236.86,3411.0,3203.85,3369.93,1435454.649,4753099829.92951
2022-01-13,3369.92,3408.89,3230.97,3240.36,1374273.064,4558640511.93513
2022-01-14,3240.32,3342.63,3181.2,3305.6,1309794.267,4271754423.42846
2022-01-15,3305.61,3372.0,3257.59,3324.05,809020.133,2687321901.17641
2022-01-16,3324.06,3394.62,3269.01,3345.49,934941.801,3112687274.02912
2022-01-17,3345.5,3355.3,3139.37,3208.61,1440138.934,4673076476.50251
2022-01-18,3208.6,3243.95,3080.5,3159.32,1589444.667,5010157515.14645
2022-01-19,3159.31,3174.6,3045.0,3082.81,1668517.082,5189639864.18362
2022-01-20,3082.8,3272.24,2985.0,2999.92,1880719.448,5926009927.5985
2022-01-21,2999.92,3031.9,2460.0,2566.91,4517274.359,12514701125.46148
2022-01-22,2566.91,2625.6,2293.56,2410.96,4662398.873,11407543010.036
2022-01-23,2410.57,2549.0,2368.0,2538.41,2371974.868,5833997685.39064
2022-01-24,2538.4,2539.59,2151.0,2438.13,4694300.254,10840194199.53302
2022-01-25,2437.87,2504.98,2349.6,2457.37,2325976.562,5636577032.24078
2022-01-26,2457.37,2720.06,2400.01,2461.61,3370868.336,8579635823.06901
