entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-02-04 11:00,2022-02-04 13:00,long,37873.08,37645.84,-0.64,-1.067,3,0.125,sl
2022-02-04 15:00,2022-02-04 15:00,long,37937.08,38506.14,1.46,2.433,1,0.042,tp
2022-02-12 09:00,2022-02-12 16:00,short,42268.76,42522.37,-0.636,-1.061,8,0.333,sl
2022-02-15 09:00,2022-02-15 23:00,long,43970.4,44629.96,1.46,2.433,15,0.625,tp
2022-02-19 06:00,2022-02-19 13:00,short,40214.1,39610.89,1.483,2.471,8,0.333,tp
2022-02-19 21:00,2022-02-20 05:00,short,40042.0,39441.37,1.483,2.471,9,0.375,tp
2022-02-20 09:00,2022-02-20 09:00,short,38142.4,38371.25,-0.636,-1.061,1,0.042,sl
2022-02-20 11:00,2022-02-20 12:00,short,38165.0,38393.99,-0.636,-1.061,2,0.083,sl
2022-02-28 16:00,2022-02-28 17:00,long,40792.8,41404.69,1.46,2.433,2,0.083,tp
2022-02-28 19:00,2022-02-28 20:00,long,41184.5,41802.27,1.46,2.433,2,0.083,tp
2022-02-28 22:00,2022-02-28 22:00,long,41633.1,42257.6,1.46,2.433,1,0.042,tp
2022-03-04 01:00,2022-03-04 08:00,short,41597.1,40973.14,1.483,2.471,8,0.333,tp
2022-03-04 10:00,2022-03-04 10:00,short,41511.0,41760.07,-0.636,-1.061,1,0.042,sl
2022-03-04 12:00,2022-03-04 14:00,short,41643.4,41018.75,1.483,2.471,3,0.125,tp
2022-03-04 16:00,2022-03-04 17:00,short,40694.6,40938.77,-0.636,-1.061,2,0.083,sl
2022-03-04 19:00,2022-03-04 19:00,short,40610.6,40001.44,1.483,2.471,1,0.042,tp
2022-03-04 21:00,2022-03-04 22:00,short,39457.5,38865.64,1.483,2.471,2,0.083,tp
2022-03-05 02:00,2022-03-05 11:00,short,38972.2,39206.03,-0.636,-1.061,10,0.417,sl
2022-03-05 13:00,2022-03-05 16:00,short,39054.8,39289.13,-0.636,-1.061,4,0.167,sl
2022-03-08 16:00,2022-03-08 17:00,short,38649.8,38881.7,-0.636,-1.061,2,0.083,sl
2022-03-24 17:00,2022-03-25 08:00,long,43974.7,43710.85,-0.64,-1.067,16,0.667,sl
2022-03-26 09:00,2022-03-26 12:00,long,44484.2,44217.29,-0.64,-1.067,4,0.167,sl
2022-03-26 14:00,2022-03-27 02:00,long,44240.6,44904.21,1.46,2.433,13,0.542,tp
2022-03-27 04:00,2022-03-27 12:00,long,44691.0,44422.85,-0.64,-1.067,9,0.375,sl
2022-04-06 01:00,2022-04-06 01:00,short,44979.9,45249.78,-0.636,-1.061,1,0.042,sl
2022-04-06 03:00,2022-04-06 07:00,short,45207.5,45478.75,-0.636,-1.061,5,0.208,sl
2022-04-06 09:00,2022-04-06 11:00,short,45350.1,44669.85,1.483,2.471,3,0.125,tp
2022-04-06 13:00,2022-04-06 13:00,short,44744.2,44073.04,1.483,2.471,1,0.042,tp
2022-04-06 15:00,2022-04-06 16:00,short,44241.0,43577.39,1.483,2.471,2,0.083,tp
2022-04-08 14:00,2022-04-08 14:00,short,42898.0,43155.39,-0.636,-1.061,1,0.042,sl
2022-04-11 11:00,2022-04-11 11:00,short,41583.4,40959.65,1.483,2.471,1,0.042,tp
2022-04-11 13:00,2022-04-11 16:00,short,41133.5,40516.5,1.483,2.471,4,0.167,tp
2022-04-11 18:00,2022-04-11 19:00,short,40441.8,39835.17,1.483,2.471,2,0.083,tp
2022-04-11 21:00,2022-04-11 22:00,short,39813.7,39216.49,1.483,2.471,2,0.083,tp
2022-04-26 18:00,2022-04-26 19:00,short,38375.3,37799.67,1.483,2.471,2,0.083,tp
2022-04-26 23:00,2022-04-27 03:00,short,38194.9,38424.07,-0.636,-1.061,5,0.208,sl
2022-04-29 13:00,2022-04-29 13:00,short,38888.4,39121.73,-0.636,-1.061,1,0.042,sl
2022-05-01 19:00,2022-05-01 20:00,short,37920.2,38147.72,-0.636,-1.061,2,0.083,sl
2022-05-01 23:00,2022-05-01 23:00,short,38288.2,38517.93,-0.636,-1.061,1,0.042,sl
2022-05-03 15:00,2022-05-03 18:00,short,38276.0,37701.86,1.483,2.471,4,0.167,tp
2022-05-03 20:00,2022-05-03 21:00,short,37707.3,37933.54,-0.636,-1.061,2,0.083,sl
2022-05-03 23:00,2022-05-04 01:00,short,37728.7,37955.07,-0.636,-1.061,3,0.125,sl
2022-05-05 18:00,2022-05-05 18:00,short,36795.4,36243.47,1.483,2.471,1,0.042,tp
