date,open,high,low,close,volume,quote_volume,oi_btc,funding_mean,funding_sum,bn_oi_usd,bn_oi_btc,oi_usd,usdt_d,usdt_mcap,total_mcap,btc_dominance,usdt_d_source
2022-01-01 00:00:00,46210.57,46944.56,46210.55,46789.56,24921.419,1163591050.09468,15863.152,0.0001,0.0001,,,742229902.2931199,4.241718142190379,79326554298.0,1870151472559.5745,,proxy_calibrated
2022-01-01 04:00:00,46789.55,47566.66,46605.0,47186.83,34840.019,1640482195.999,16107.55,0.0001,0.0002,,,760064223.5665,4.241718142190379,79326554298.0,1870151472559.5745,,proxy_calibrated
2022-01-01 08:00:00,47186.83,47338.0,46700.09,46755.01,29421.287,1383156997.95455,15503.987,0.0001,0.0003,,,724889067.22487,4.241718142190379,79326554298.0,1870151472559.5745,,proxy_calibrated
2022-01-01 12:00:00,46755.01,47488.64,46755.01,47194.78,28293.73,1332222394.70214,15814.345,0.0001,0.0004,,,746354533.1191,4.241718142190379,79326554298.0,1870151472559.5745,,proxy_calibrated
2022-01-01 16:00:00,47194.77,47943.77,47157.59,47326.98,38466.496,1828153448.54727,15760.121,0.0001,0.0005,,,745878931.36458,4.241718142190379,79326554298.0,1870151472559.5745,,proxy_calibrated
2022-01-01 20:00:00,47326.99,47813.43,47202.47,47704.35,23490.633,1114226574.35965,15571.394,0.0001,0.0006,,,742823229.3639,4.241718142190379,79326554298.0,1870151472559.5745,,proxy_calibrated
2022-01-02 00:00:00,47704.35,47745.61,47263.28,47330.75,20840.181,989097511.14833,15636.474,0.0001,0.0006,,,740086041.7755,4.215197598672834,78778422990.0,1868914117212.5264,,proxy_calibrated
2022-01-02 04:00:00,47330.76,47418.65,46749.99,47171.04,31316.56,1473758965.17063,15919.511,0.0001,0.0006,,,750939890.16144,4.215197598672834,78778422990.0,1868914117212.5264,,proxy_calibrated
2022-01-02 08:00:00,47171.39,47500.0,46963.66,47231.3,22208.407,1049329818.47115,15883.911,0.0001,0.0006,,,750217765.6143,4.215197598672834,78778422990.0,1868914117212.5264,,proxy_calibrated
2022-01-02 12:00:00,47231.29,47453.05,47002.47,47329.68,26792.14,1264352642.3155,15906.022,0.0001,0.0006,,,752826931.33296,4.215197598672834,78778422990.0,1868914117212.5264,,proxy_calibrated
2022-01-02 16:00:00,47329.68,48000.0,46605.68,46908.29,63863.45,3020978940.52806,15962.603,0.0001,0.0006,,,748778410.67887,4.215197598672834,78778422990.0,1868914117212.5264,,proxy_calibrated
2022-01-02 20:00:00,46908.66,47469.46,46815.75,47280.0,19774.355,932630445.97423,15501.487,0.0001,0.0006,,,732910305.36,4.215197598672834,78778422990.0,1868914117212.5264,,proxy_calibrated
2022-01-03 00:00:00,47280.01,47288.28,46717.26,46802.86,26291.881,1235571591.32057,15370.184,0.0001,0.0006,,,719368569.92624,4.269323007929552,78481342990.0,1838262011195.5469,,proxy_calibrated
2022-01-03 04:00:00,46802.86,47217.37,46750.0,47041.11,21333.244,1001800159.18009,16152.864,0.0001,0.0006,,,759848652.23904,4.269323007929552,78481342990.0,1838262011195.5469,,proxy_calibrated
2022-01-03 08:00:00,47042.77,47436.26,46777.0,47364.11,33235.58,1565328519.14216,16297.413,0.0001,0.0006,,,771912462.04743,4.269323007929552,78481342990.0,1838262011195.5469,,proxy_calibrated
2022-01-03 12:00:00,47364.11,47575.22,46560.0,46689.99,57712.063,2716150308.05115,15962.229,0.0001,0.0006,,,745276312.38771,4.269323007929552,78481342990.0,1838262011195.5469,,proxy_calibrated
2022-01-03 16:00:00,46689.99,46800.0,46260.4,46364.55,49363.789,2296505484.69365,16541.247,0.0001,0.0006,,,766927473.59385,4.269323007929552,78481342990.0,1838262011195.5469,,proxy_calibrated
2022-01-03 20:00:00,46364.56,46579.28,45665.4,46445.81,56845.236,2619369721.63511,16803.086,0.0001,0.0006,,,780432939.7696599,4.269323007929552,78481342990.0,1838262011195.5469,,proxy_calibrated
2022-01-04 00:00:00,46445.8,46550.0,45931.61,46313.95,30816.389,1424536968.74991,17275.287,0.0001,0.0006,,,800086778.35365,4.291821966218018,78388221317.0,1826455569080.2856,,proxy_calibrated
2022-01-04 04:00:00,46313.95,46550.89,46020.5,46521.68,28851.557,1334913841.96897,17490.51099999,0.0001,0.0006,,,813687955.7780149,4.291821966218018,78388221317.0,1826455569080.2856,,proxy_calibrated
2022-01-04 08:00:00,46521.69,46750.0,46270.54,46709.98,37737.68,1756454193.45552,17407.13399999,0.0001,0.0006,,,813086880.996853,4.291821966218018,78388221317.0,1826455569080.2856,,proxy_calibrated
2022-01-04 12:00:00,46709.97,47524.36,46390.84,46925.28,68631.828,3226180011.0097,17461.755,0.0001,0.0006,,,819397742.6664001,4.291821966218018,78388221317.0,1826455569080.2856,,proxy_calibrated
2022-01-04 16:00:00,46925.28,46986.54,45445.57,46058.09,92895.654,4299796195.94016,17046.88499999,0.0001,0.0006,,,785146963.5491894,4.291821966218018,78388221317.0,1826455569080.2856,,proxy_calibrated
2022-01-04 20:00:00,46058.09,46430.38,45750.0,45833.42,33216.642,1531725545.04381,15614.699,0.0001,0.0006,,,715675057.44058,4.291821966218018,78388221317.0,1826455569080.2856,,proxy_calibrated
2022-01-05 00:00:00,45833.41,46580.0,45710.23,46409.76,28814.127,1331750446.40164,15976.977,0.0001,0.0006,,,741487668.09552,4.5421597604083965,78502373121.0,1728304975207.2495,,proxy_calibrated
2022-01-05 04:00:00,46412.87,46537.0,46243.1,46399.33,18289.792,848328500.52649,16284.502,0.0001,0.0006,,,755589982.18366,4.5421597604083965,78502373121.0,1728304975207.2495,,proxy_calibrated
2022-01-05 08:00:00,46399.34,47075.29,46095.4,46271.93,54891.578,2558394491.05609,16229.997,0.0001,0.0006,,,750993285.0842099,4.5421597604083965,78502373121.0,1728304975207.2495,,proxy_calibrated
2022-01-05 12:00:00,46271.93,46820.83,45900.0,46611.46,81299.27,3771082233.36816,16329.062,0.0001,0.0006,,,761121420.25052,4.5421597604083965,78502373121.0,1728304975207.2495,,proxy_calibrated
2022-01-05 16:00:00,46611.47,46670.0,44128.22,44673.22,128210.848,5849568689.9225,16457.88499999,0.0001,0.0006,,,735226717.3392533,4.5421597604083965,78502373121.0,1728304975207.2495,,proxy_calibrated
2022-01-05 20:00:00,44671.93,44835.0,42270.0,43421.69,173971.954,7600764459.62277,16076.486,0.0001,0.0006,,,698068191.38134,4.5421597604083965,78502373121.0,1728304975207.2495,,proxy_calibrated
2022-01-06 00:00:00,43421.7,43766.0,42801.0,42817.38,56177.064,2434706939.43685,16322.491,0.0001,0.0006,,,698886299.6935799,4.635234433376794,78772213379.0,1699422424285.3235,,proxy_calibrated
2022-01-06 04:00:00,42821.05,43258.82,42566.73,43222.22,53675.887,2307221059.62148,16361.382,0.0001,0.0006,,,707175252.30804,4.635234433376794,78772213379.0,1699422424285.3235,,proxy_calibrated
2022-01-06 08:00:00,43222.22,43253.23,42385.83,42865.15,59278.161,2537895163.73292,16561.81,0.0001,0.0006,,,709924469.9215001,4.635234433376794,78772213379.0,1699422424285.3235,,proxy_calibrated
2022-01-06 12:00:00,42865.14,43228.73,42629.75,42947.79,61959.766,2659539662.65219,16727.192,0.0001,0.0006,,,718395929.3056799,4.635234433376794,78772213379.0,1699422424285.3235,,proxy_calibrated
2022-01-06 16:00:00,42947.78,43488.48,42742.0,43409.03,42221.222,1819810760.89444,16785.005,0.0001,0.0006,,,728620785.59515,4.635234433376794,78772213379.0,1699422424285.3235,,proxy_calibrated
2022-01-06 20:00:00,43409.03,43564.78,43000.0,43080.01,26197.751,1131750671.53818,16644.059,0.0001,0.0006,,,717026228.16059,4.635234433376794,78772213379.0,1699422424285.3235,,proxy_calibrated
2022-01-07 00:00:00,43080.01,43135.0,41500.0,41789.97,72499.775,3070495350.0536,16478.682,0.0001,0.0006,,,688643626.41954,4.8273449013625855,78639572254.0,1629043995422.8853,,proxy_calibrated
2022-01-07 04:00:00,41789.97,41931.0,40900.0,41691.61,96980.039,4025733556.1838,16768.839,0.0001,0.0006,,,699119895.74079,4.8273449013625855,78639572254.0,1629043995422.8853,,proxy_calibrated
2022-01-07 08:00:00,41699.41,42960.0,41601.96,42249.99,61787.693,2612113551.76355,17231.823,0.0001,0.0006,,,728044349.43177,4.8273449013625855,78639572254.0,1629043995422.8853,,proxy_calibrated
2022-01-07 12:00:00,42250.0,42791.45,40456.56,41297.41,131096.797,5457300035.52209,16915.427,0.0001,0.0006,,,698563324.14407,4.8273449013625855,78639572254.0,1629043995422.8853,,proxy_calibrated
2022-01-07 16:00:00,41297.14,42345.81,40900.0,41764.32,79067.223,3293127951.62823,16548.06499999,0.0001,0.0006,,,691118682.0403824,4.8273449013625855,78639572254.0,1629043995422.8853,,proxy_calibrated
2022-01-07 20:00:00,41763.67,42056.36,41300.0,41553.86,31783.322,1325136547.44778,16516.389,0.0001,0.0006,,,686319716.21154,4.8273449013625855,78639572254.0,1629043995422.8853,,proxy_calibrated
2022-01-08 00:00:00,41553.87,42247.36,41553.86,41796.03,33066.323,1384322096.37654,16241.542,0.0001,0.0006,,,678831976.67826,4.863713277807387,78498478180.0,1613961878431.04,,proxy_calibrated
2022-01-08 04:00:00,41796.03,41988.67,41711.35,41902.21,16857.004,705842439.07159,16252.764,0.0001,0.0006,,,681026730.20844,4.863713277807387,78498478180.0,1613961878431.04,,proxy_calibrated
2022-01-08 08:00:00,41902.21,42191.84,41747.64,41918.02,32638.282,1369715152.04972,16472.774,0.0001,0.0006,,,690506069.98748,4.863713277807387,78498478180.0,1613961878431.04,,proxy_calibrated
2022-01-08 12:00:00,41918.02,42040.23,41300.0,41600.72,39542.944,1651207274.23365,16527.20699999,0.0001,0.0006,,,687543710.788624,4.863713277807387,78498478180.0,1613961878431.04,,proxy_calibrated
2022-01-08 16:00:00,41600.72,41729.6,40500.0,40837.51,100299.812,4115480852.5361,16705.143,0.0001,0.0006,,,682196444.31393,4.863713277807387,78498478180.0,1613961878431.04,,proxy_calibrated
2022-01-08 20:00:00,40837.5,42335.0,40722.22,41688.05,61332.859,2553354753.1362,17668.915,0.0001,0.0006,,,736582611.9657501,4.863713277807387,78498478180.0,1613961878431.04,,proxy_calibrated
2022-01-09 00:00:00,41688.05,42168.0,41380.0,41835.6,36586.352,1528430137.43137,16602.316,0.0001,0.0006,,,694567851.2495999,4.8071992468211455,78296609765.0,1628736520891.56,,proxy_calibrated
2022-01-09 04:00:00,41835.6,42092.95,41666.0,41784.63,22050.977,923086223.4724,16853.304,0.0001,0.0006,,,704209071.9175199,4.8071992468211455,78296609765.0,1628736520891.56,,proxy_calibrated
2022-01-09 08:00:00,41784.62,42000.0,41400.0,41854.25,34959.754,1457256863.65942,16923.091,0.0001,0.0006,,,708303281.48675,4.8071992468211455,78296609765.0,1628736520891.56,,proxy_calibrated
2022-01-09 12:00:00,41854.26,41918.0,41170.0,41611.09,40736.574,1693967886.65478,17173.663,0.0001,0.0006,,,714614836.72267,4.8071992468211455,78296609765.0,1628736520891.56,,proxy_calibrated
2022-01-09 16:00:00,41611.09,42735.0,41550.0,42678.95,54244.795,2285566131.06154,17167.50999999,0.0001,0.0006,,,732691300.9140732,4.8071992468211455,78296609765.0,1628736520891.56,,proxy_calibrated
2022-01-09 20:00:00,42678.96,42773.85,41755.0,41851.22,34556.5,1459452045.20937,16860.01099999,0.0001,0.0006,,,705612029.5630015,4.8071992468211455,78296609765.0,1628736520891.56,,proxy_calibrated
2022-01-10 00:00:00,41851.22,42025.0,41572.0,41946.05,29063.854,1215138000.04988,16902.526,0.0001,0.0006,,,708994200.7223002,4.828648614025337,78054241928.0,1616482129208.635,,proxy_calibrated
