label,start,end,note
Gulf_War,1990-08-02,1991-04-30,Iraq invades Kuwait / Op Desert Storm
Kosovo,1998-03-24,1999-06-20,NATO Kosovo campaign
Afghanistan_US,2001-10-07,2014-12-31,US-led Afghanistan (major phase)
Iraq_War,2003-03-20,2011-12-15,US-led Iraq war
Russia_Ukraine,2022-02-24,2030-12-31,Ongoing placeholder end date for chart shading
