date,open,high,low,close
2000-09-01,273.8999938964844,278.29998779296875,273.8999938964844,277.0
2000-09-08,275.79998779296875,275.79998779296875,273.29998779296875,273.29998779296875
2000-09-15,273.1000061035156,273.1000061035156,272.29998779296875,272.29998779296875
2000-09-22,271.3999938964844,271.8999938964844,269.0,271.79998779296875
2000-09-29,274.1000061035156,278.3999938964844,272.0,273.6000061035156
2000-10-06,272.79998779296875,273.5,269.29998779296875,269.29998779296875
2000-10-13,269.1000061035156,276.3999938964844,269.1000061035156,272.3999938964844
2000-10-20,271.5,271.5,270.1000061035156,271.20001220703125
2000-10-27,271.70001220703125,271.70001220703125,264.3999938964844,264.3999938964844
2000-11-03,264.29998779296875,265.0,263.8999938964844,264.6000061035156
2000-11-10,264.5,265.79998779296875,264.29998779296875,264.5
2000-11-17,264.29998779296875,265.79998779296875,264.29998779296875,265.70001220703125
2000-11-24,266.29998779296875,266.29998779296875,265.70001220703125,266.29998779296875
2000-12-01,270.1000061035156,272.0,265.79998779296875,268.70001220703125
2000-12-08,271.0,276.0,269.8999938964844,272.20001220703125
2000-12-15,270.70001220703125,270.70001220703125,268.0,270.3999938964844
2000-12-22,270.0,274.0,269.0,273.70001220703125
2000-12-29,273.20001220703125,275.20001220703125,271.70001220703125,272.0
2001-01-05,268.3999938964844,268.3999938964844,267.29998779296875,268.0
2001-01-12,268.0,268.0,263.8999938964844,263.8999938964844
2001-01-19,263.29998779296875,264.29998779296875,263.20001220703125,264.29998779296875
2001-01-26,266.3999938964844,266.3999938964844,262.79998779296875,262.79998779296875
2001-02-02,262.79998779296875,268.8999938964844,262.79998779296875,267.1000061035156
2001-02-09,265.1000061035156,265.79998779296875,259.0,259.8999938964844
2001-02-16,262.5,262.5,255.0,258.20001220703125
2001-02-23,256.1000061035156,260.8999938964844,255.0,260.8999938964844
2001-03-02,262.0,267.3999938964844,261.5,262.1000061035156
2001-03-09,262.5,270.79998779296875,259.0,270.79998779296875
2001-03-16,271.6000061035156,271.6000061035156,257.0,258.1000061035156
2001-03-23,259.79998779296875,261.8999938964844,259.79998779296875,261.5
2001-03-30,261.8999938964844,261.8999938964844,256.6000061035156,257.8999938964844
2001-04-06,257.20001220703125,260.5,255.0,260.0
2001-04-13,260.5,261.0,256.5,260.1000061035156
2001-04-20,260.5,265.29998779296875,259.5,264.79998779296875
2001-04-27,263.6000061035156,265.0,262.0,263.8999938964844
2001-05-04,264.0,266.29998779296875,264.0,266.1000061035156
2001-05-11,266.1000061035156,270.0,265.1000061035156,267.8999938964844
2001-05-18,268.29998779296875,287.3999938964844,268.1000061035156,287.3999938964844
2001-05-25,285.3999938964844,285.3999938964844,277.8999938964844,277.8999938964844
2001-06-01,273.79998779296875,275.0,264.20001220703125,266.3999938964844
2001-06-08,266.8999938964844,274.20001220703125,264.5,273.3999938964844
2001-06-15,271.1000061035156,276.0,266.5,271.20001220703125
2001-06-22,272.0,273.6000061035156,271.0,272.29998779296875
2001-06-29,275.0,277.0,269.29998779296875,270.6000061035156
2001-07-06,269.3999938964844,269.3999938964844,263.70001220703125,265.8999938964844
2001-07-13,266.5,268.29998779296875,266.20001220703125,267.1000061035156
2001-07-20,266.8999938964844,270.3999938964844,266.8999938964844,269.8999938964844
2001-07-27,268.79998779296875,269.70001220703125,266.20001220703125,267.3999938964844
2001-08-03,267.29998779296875,268.5,264.1000061035156,267.8999938964844
2001-08-10,267.79998779296875,275.79998779296875,265.8999938964844,273.8999938964844
