date,value
1960-01-01,67.2403638536341
1961-01-01,66.6082636931087
1962-01-01,66.0635580065317
1963-01-01,65.5777949478025
1964-01-01,65.0942052409339
1965-01-01,64.6956043945629
1966-01-01,64.2998160408519
1967-01-01,63.8139745764078
1968-01-01,63.442393393415
1969-01-01,63.2987728673812
1970-01-01,63.1781589954441
1971-01-01,63.0842158473901
1972-01-01,63.1261902284617
1973-01-01,63.2843827624819
1974-01-01,63.4696148829269
1975-01-01,63.682814250971
1976-01-01,64.0184296449011
1977-01-01,64.3960101378824
1978-01-01,64.8128253189438
1979-01-01,65.3142833612383
1980-01-01,65.9440716462125
1981-01-01,66.7535619755446
1982-01-01,67.6420780607752
1983-01-01,68.5085830960339
1984-01-01,69.1681141840731
1985-01-01,69.457558146942
1986-01-01,69.5237979740659
1987-01-01,69.5187649037966
1988-01-01,69.4189494379369
1989-01-01,69.2582410193316
1990-01-01,69.0458972861167
1991-01-01,68.8398927484779
1992-01-01,68.7310497382724
1993-01-01,68.6086204972715
1994-01-01,68.4531831853126
1995-01-01,68.3513415565947
1996-01-01,68.3063358490373
1997-01-01,68.2720544299515
1998-01-01,68.2355114174291
1999-01-01,68.1136120055995
2000-01-01,67.885670642617
2001-01-01,67.664203690965
2002-01-01,67.4723981364479
2003-01-01,67.268380561822
2004-01-01,66.9801813153722
2005-01-01,66.6481280445416
2006-01-01,66.2934869710793
2007-01-01,66.0234880594569
2008-01-01,65.8696443375807
2009-01-01,65.7212170370739
2010-01-01,65.7386429233445
2011-01-01,65.8994933869984
2012-01-01,65.9715437998931
2013-01-01,65.9544693115349
2014-01-01,65.8621937797938
2015-01-01,65.7365353514053
2016-01-01,65.5385099359924
2017-01-01,65.2493405041228
2018-01-01,64.9876223341919
2019-01-01,64.709009583285
2020-01-01,64.3935455490144
2021-01-01,64.007731691245
2022-01-01,63.6285624993021
2023-01-01,63.2943857808214
2024-01-01,62.8942524078782
