open_time,open_time_ms,symbol,timeframe,side,entry,stop_loss,take_profit,exit_price,exit_reason,pnl_pct
2020-01-03 04:00:00,1578024000000,BTC/USDT,1h,long,7204.37,7104.049833761727,7371.570277063788,7371.570277063788,target,2.32
2020-01-03 21:00:00,1578085200000,BTC/USDT,1h,short,7277.27,7384.209516637118,7099.0374722714705,7384.209516637118,stop,-1.47
2020-01-05 00:00:00,1578182400000,BTC/USDT,1h,long,7371.57,7302.825739824867,7486.143766958554,7486.143766958554,target,1.55
2020-01-05 10:00:00,1578218400000,BTC/USDT,1h,short,7415.59,7484.014984680315,7301.548358866142,7484.014984680315,stop,-0.92
2020-01-06 02:00:00,1578276000000,BTC/USDT,1h,long,7548.63,7471.43201060515,7677.293315658084,7677.293315658084,target,1.7
2020-01-07 12:00:00,1578398400000,BTC/USDT,1h,short,7873.09,7961.96622566151,7724.962957230817,7961.96622566151,stop,-1.13
2020-01-08 09:00:00,1578474000000,BTC/USDT,1h,short,8299.8,8447.94083326905,8052.89861121825,8052.89861121825,target,2.97
2020-01-09 19:00:00,1578596400000,BTC/USDT,1h,long,7921.34,7799.585930799203,8124.263448667994,7799.585930799203,stop,-1.54
2020-01-09 21:00:00,1578603600000,BTC/USDT,1h,short,7792.41,7927.88659538232,7566.615674362801,7927.88659538232,stop,-1.74
2020-01-11 07:00:00,1578726000000,BTC/USDT,1h,short,8079.53,8218.896592743216,7847.2523454279735,8218.896592743216,stop,-1.72
2020-01-11 20:00:00,1578772800000,BTC/USDT,1h,long,8163.45,8052.566079167421,8348.256534720966,8052.566079167421,stop,-1.36
2020-01-12 09:00:00,1578819600000,BTC/USDT,1h,long,8140.08,8037.2257180347215,8311.503803275464,8311.503803275464,target,2.11
2020-01-15 00:00:00,1579046400000,BTC/USDT,1h,short,8781.05,8945.976157679172,8506.17307053471,8945.976157679172,stop,-1.88
2020-01-17 14:00:00,1579269600000,BTC/USDT,1h,short,8790.9,8917.933913553925,8579.176810743458,8917.933913553925,stop,-1.45
2020-01-17 22:00:00,1579298400000,BTC/USDT,1h,long,8944.0,8820.75517091346,9149.408048477566,8820.75517091346,stop,-1.38
2020-01-18 22:00:00,1579384800000,BTC/USDT,1h,long,8959.73,8879.077589012906,9094.150684978487,9094.150684978487,target,1.5
2020-01-19 10:00:00,1579428000000,BTC/USDT,1h,short,9048.0,9139.312561081908,8895.81239819682,8895.81239819682,target,1.68
2020-01-20 02:00:00,1579485600000,BTC/USDT,1h,long,8662.44,8528.386515862177,8885.86247356304,8528.386515862177,stop,-1.55
2020-01-21 20:00:00,1579636800000,BTC/USDT,1h,long,8724.33,8630.599159049325,8880.548068251126,8630.599159049325,stop,-1.07
2020-01-23 21:00:00,1579813200000,BTC/USDT,1h,long,8403.16,8314.00698393271,8551.74836011215,8314.00698393271,stop,-1.06
2020-01-24 11:00:00,1579863600000,BTC/USDT,1h,long,8416.56,8319.083758963696,8579.020401727174,8319.083758963696,stop,-1.16
2020-01-25 00:00:00,1579910400000,BTC/USDT,1h,short,8313.7,8414.17502531477,8146.241624475386,8414.17502531477,stop,-1.21
2020-01-27 08:00:00,1580112000000,BTC/USDT,1h,short,8608.12,8682.993200797166,8483.331332004725,8682.993200797166,stop,-0.87
2020-01-28 07:00:00,1580194800000,BTC/USDT,1h,short,9048.07,9162.199341376783,8857.854431038693,9162.199341376783,stop,-1.26
2020-01-29 11:00:00,1580295600000,BTC/USDT,1h,short,9313.47,9457.35970159655,9073.653830672416,9457.35970159655,stop,-1.54
2020-01-30 17:00:00,1580403600000,BTC/USDT,1h,long,9475.75,9342.549279757766,9697.751200403723,9342.549279757766,stop,-1.41
2020-01-31 21:00:00,1580504400000,BTC/USDT,1h,long,9375.93,9277.34453614348,9540.239106427533,9277.34453614348,stop,-1.05
2020-02-02 07:00:00,1580626800000,BTC/USDT,1h,long,9379.19,9287.072037637407,9532.71993727099,9532.71993727099,target,1.64
2020-02-03 01:00:00,1580691600000,BTC/USDT,1h,long,9529.45,9418.806903150553,9713.855161415746,9418.806903150553,stop,-1.16
2020-02-03 02:00:00,1580695200000,BTC/USDT,1h,short,9387.1,9513.660018503058,9176.166635828236,9176.166635828236,target,2.25
